CD_MAKE_VEH,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,NB_YEAR_MFC_VEH,TOTAL
B Y D ,ATTO 2,WHI,2026,44
B Y D ,ATTO 3,BLK,2025,4
B Y D ,ATTO 3,BLK,2026,7
B Y D ,ATTO 3,BLU,2026,1
B Y D ,ATTO 3,GRY,2025,4
B Y D ,ATTO 3,GRY,2026,22
B Y D ,ATTO 3,WHI,2025,11
B Y D ,ATTO 3,WHI,2026,8
B Y D ,ATTO1 ,BLK,2025,1
B Y D ,ATTO1 ,BLK,2026,5
B Y D ,ATTO1 ,BLU,2026,7
B Y D ,ATTO1 ,GRN,2026,40
B Y D ,ATTO1 ,SIL,2026,5
B Y D ,ATTO1 ,WHI,2025,5
B Y D ,ATTO1 ,WHI,2026,3
B Y D ,ATTO2 ,BLK,2025,8
B Y D ,ATTO2 ,BLK,2026,18
B Y D ,ATTO2 ,GRY,2025,5
B Y D ,ATTO2 ,WHI,2025,5
B Y D ,ATTO2 ,WHI,2026,8
B Y D ,ATTO3 ,BLK,2025,1
B Y D ,ATTO3 ,BLK,2026,13
B Y D ,ATTO3 ,GRY,2025,3
B Y D ,ATTO3 ,GRY,2026,6
B Y D ,ATTO3 ,WHI,2025,4
B Y D ,ATTO3 ,WHI,2026,5
B Y D ,BYD   ,BLK,2025,1
B Y D ,BYD MY,BLK,2026,1
B Y D ,BYD MY,GRY,2025,1
B Y D ,BYD MY,WHI,2026,1
B Y D ,DEALIO,WHI,2026,1
B Y D ,DOLPHI,BLU,2025,1
B Y D ,DOLPHI,BLU,2026,4
B Y D ,DOLPHI,GRY,2025,15
B Y D ,DOLPHI,GRY,2026,24
B Y D ,DOLPHI,WHI,2025,19
B Y D ,DOLPHI,WHI,2026,10
B Y D ,PAH   ,OGE,2025,1
B Y D ,PAH   ,WHI,2025,1
B Y D ,SA3   ,GRY,2025,1
B Y D ,SC3E  ,WHI,2025,1
B Y D ,SEAL  ,BLK,2025,7
B Y D ,SEAL  ,BLK,2026,15
B Y D ,SEAL  ,BLU,2025,3
B Y D ,SEAL  ,BLU,2026,1
B Y D ,SEAL  ,GRY,2025,24
B Y D ,SEAL  ,GRY,2026,19
B Y D ,SEAL  ,WHI,2025,27
B Y D ,SEAL  ,WHI,2026,2
B Y D ,SEAL 6,GRY,2025,1
B Y D ,SEALI ,BLK,2025,11
B Y D ,SEALI ,BLK,2026,4
B Y D ,SEALI ,GRN,2025,1
B Y D ,SEALI ,GRY,2025,15
B Y D ,SEALI ,GRY,2026,2
B Y D ,SEALI ,WHI,2025,13
B Y D ,SEALI ,WHI,2026,1
B Y D ,SEALIN,WHI,2026,1
B Y D ,SEALIO,AQU,2025,12
B Y D ,SEALIO,AQU,2026,8
B Y D ,SEALIO,BEI,2025,1
B Y D ,SEALIO,BLK,2025,173
B Y D ,SEALIO,BLK,2026,55
B Y D ,SEALIO,BLU,2025,49
B Y D ,SEALIO,BLU,2026,4
B Y D ,SEALIO,BRN,2025,1
B Y D ,SEALIO,GRN,2025,31
B Y D ,SEALIO,GRN,2026,15
B Y D ,SEALIO,GRY,2025,329
B Y D ,SEALIO,GRY,2026,86
B Y D ,SEALIO,TUR,2026,1
B Y D ,SEALIO,WHI,2025,269
B Y D ,SEALIO,WHI,2026,94
B Y D ,SHARK ,BLK,2025,65
B Y D ,SHARK ,BLK,2026,14
B Y D ,SHARK ,BLU,2025,15
B Y D ,SHARK ,BLU,2026,11
B Y D ,SHARK ,GRN,2025,1
B Y D ,SHARK ,GRN,2026,1
B Y D ,SHARK ,GRY,2025,28
B Y D ,SHARK ,GRY,2026,15
B Y D ,SHARK ,OGE,2025,20
B Y D ,SHARK ,OGE,2026,10
B Y D ,SHARK ,WHI,2025,47
B Y D ,SHARK ,WHI,2026,28
B Y D ,SHARK6,BLK,2025,12
B Y D ,SHARK6,BLK,2026,1
B Y D ,SHARK6,BLU,2025,1
B Y D ,SHARK6,BLU,2026,4
B Y D ,SHARK6,GRY,2025,4
B Y D ,SHARK6,GRY,2026,28
B Y D ,SHARK6,OGE,2025,4
B Y D ,SHARK6,OGE,2026,1
B Y D ,SHARK6,WHI,2025,17
B Y D ,SHARK6,WHI,2026,2
B Y D ,SR    ,WHI,2025,1
B Y D ,TZ200X,BLK,2026,1
B Y D ,TZ220X,GRN,2025,1
BENT  ,BENTAY,GRN,2026,1
BETA  ,300RR ,RED,2026,1
BETA  ,ENDURO,RED,2025,1
BETA  ,RR 300,RED,2025,1
BETA  ,RR200 ,BLU,2025,1
BETA  ,RR250 ,RED,2026,1
BETA  ,RR300 ,BLU,2025,1
BETA  ,RR300 ,RED,2025,1
BETA  ,XT300 ,GRY,2025,3
BOBCAT,S770  ,WHI,2026,1
BOBCAT,T450  ,WHI,2026,1
BOBCAT,TL3060,WHI,2026,1
BOBCAT,TL38 7,WHI,2025,1
BOBCAT,UT6580,WHI,2026,1
BRAAAP,CRUISE,RED,2026,1
CAD   ,LYRIQ ,BLK,2025,3
CAD   ,LYRIQ ,RED,2025,1
CAD   ,LYRIQ ,SIL,2025,2
CAD   ,OPTIQ ,BLK,2026,1
CAD   ,VISTIQ,SIL,2026,2
CAN AM,DEFEND,BLK,2026,1
CAN AM,DEFEND,FWN,2026,1
CAN AM,DEFEND,YLW,2025,2
CAN AM,DEFLTD,BLU,2026,1
CAN AM,HD9 XU,YLW,2025,2
CASE  ,FARMAL,RED,2025,1
CFMOTO,      ,GRN,2025,1
CFMOTO,      ,SIL,2026,1
CFMOTO,150SC ,BLK,2025,2
CFMOTO,150SC ,BLK,2026,1
CFMOTO,150SC ,SIL,2025,1
CFMOTO,150SC ,SIL,2026,1
CFMOTO,300NK ,BLK,2025,10
CFMOTO,300NK ,BLU,2025,1
CFMOTO,400NK ,BLK,2026,1
